code,description,category,subcategory,code_system
00710,Anesthesia for procedure 710,Anesthesia,Anesthesia Services,CPT
00720,Anesthesia for procedure 720,Anesthesia,Anesthesia Services,CPT
00730,Anesthesia for procedure 730,Anesthesia,Anesthesia Services,CPT
00740,Anesthesia for procedure 740,Anesthesia,Anesthesia Services,CPT
00750,Anesthesia for procedure 750,Anesthesia,Anesthesia Services,CPT
00760,Anesthesia for procedure 760,Anesthesia,Anesthesia Services,CPT
0076T,Emerging technology procedure 76T,Category III - Emerging Technology,Investigational,CPT
00770,Anesthesia for procedure 770,Anesthesia,Anesthesia Services,CPT
00780,Anesthesia for procedure 780,Anesthesia,Anesthesia Services,CPT
00790,Anesthesia for procedure 790,Anesthesia,Anesthesia Services,CPT
00800,Anesthesia for procedure 800,Anesthesia,Anesthesia Services,CPT
00810,Anesthesia for procedure 810,Anesthesia,Anesthesia Services,CPT
00820,Anesthesia for procedure 820,Anesthesia,Anesthesia Services,CPT
00830,Anesthesia for procedure 830,Anesthesia,Anesthesia Services,CPT
00840,Anesthesia for procedure 840,Anesthesia,Anesthesia Services,CPT
00850,Anesthesia for procedure 850,Anesthesia,Anesthesia Services,CPT
00860,Anesthesia for procedure 860,Anesthesia,Anesthesia Services,CPT
0086T,Emerging technology procedure 86T,Category III - Emerging Technology,Investigational,CPT
00870,Anesthesia for procedure 870,Anesthesia,Anesthesia Services,CPT
00880,Anesthesia for procedure 880,Anesthesia,Anesthesia Services,CPT
00890,Anesthesia for procedure 890,Anesthesia,Anesthesia Services,CPT
00900,Anesthesia for procedure 900,Anesthesia,Anesthesia Services,CPT
00910,Anesthesia for procedure 910,Anesthesia,Anesthesia Services,CPT
00920,Anesthesia for procedure 920,Anesthesia,Anesthesia Services,CPT
00930,Anesthesia for procedure 930,Anesthesia,Anesthesia Services,CPT
00940,Anesthesia for procedure 940,Anesthesia,Anesthesia Services,CPT
00950,Anesthesia for procedure 950,Anesthesia,Anesthesia Services,CPT
00960,Anesthesia for procedure 960,Anesthesia,Anesthesia Services,CPT
0096T,Emerging technology procedure 96T,Category III - Emerging Technology,Investigational,CPT
00970,Anesthesia for procedure 970,Anesthesia,Anesthesia Services,CPT
00980,Anesthesia for procedure 980,Anesthesia,Anesthesia Services,CPT
00990,Anesthesia for procedure 990,Anesthesia,Anesthesia Services,CPT
01000,Anesthesia for procedure 1000,Anesthesia,Anesthesia Services,CPT
01010,Anesthesia for procedure 1010,Anesthesia,Anesthesia Services,CPT
0101F,Performance measure 101F,Category II - Performance Measures,Quality Measurement,CPT
01020,Anesthesia for procedure 1020,Anesthesia,Anesthesia Services,CPT
01030,Anesthesia for procedure 1030,Anesthesia,Anesthesia Services,CPT
01040,Anesthesia for procedure 1040,Anesthesia,Anesthesia Services,CPT
01050,Anesthesia for procedure 1050,Anesthesia,Anesthesia Services,CPT
01060,Anesthesia for procedure 1060,Anesthesia,Anesthesia Services,CPT
0106T,Emerging technology procedure 106T,Category III - Emerging Technology,Investigational,CPT
01070,Anesthesia for procedure 1070,Anesthesia,Anesthesia Services,CPT
01080,Anesthesia for procedure 1080,Anesthesia,Anesthesia Services,CPT
01090,Anesthesia for procedure 1090,Anesthesia,Anesthesia Services,CPT
01100,Anesthesia for procedure 1100,Anesthesia,Anesthesia Services,CPT
01110,Anesthesia for procedure 1110,Anesthesia,Anesthesia Services,CPT
01120,Anesthesia for procedure 1120,Anesthesia,Anesthesia Services,CPT
01130,Anesthesia for procedure 1130,Anesthesia,Anesthesia Services,CPT
01140,Anesthesia for procedure 1140,Anesthesia,Anesthesia Services,CPT
01150,Anesthesia for procedure 1150,Anesthesia,Anesthesia Services,CPT
01160,Anesthesia for procedure 1160,Anesthesia,Anesthesia Services,CPT
0116T,Emerging technology procedure 116T,Category III - Emerging Technology,Investigational,CPT
01170,Anesthesia for procedure 1170,Anesthesia,Anesthesia Services,CPT
01180,Anesthesia for procedure 1180,Anesthesia,Anesthesia Services,CPT
01190,Anesthesia for procedure 1190,Anesthesia,Anesthesia Services,CPT
01200,Anesthesia for procedure 1200,Anesthesia,Anesthesia Services,CPT
01210,Anesthesia for procedure 1210,Anesthesia,Anesthesia Services,CPT
01220,Anesthesia for procedure 1220,Anesthesia,Anesthesia Services,CPT
01230,Anesthesia for procedure 1230,Anesthesia,Anesthesia Services,CPT
01240,Anesthesia for procedure 1240,Anesthesia,Anesthesia Services,CPT
01250,Anesthesia for procedure 1250,Anesthesia,Anesthesia Services,CPT
01260,Anesthesia for procedure 1260,Anesthesia,Anesthesia Services,CPT
0126T,Emerging technology procedure 126T,Category III - Emerging Technology,Investigational,CPT
01270,Anesthesia for procedure 1270,Anesthesia,Anesthesia Services,CPT
01280,Anesthesia for procedure 1280,Anesthesia,Anesthesia Services,CPT
01290,Anesthesia for procedure 1290,Anesthesia,Anesthesia Services,CPT
01300,Anesthesia for procedure 1300,Anesthesia,Anesthesia Services,CPT
01310,Anesthesia for procedure 1310,Anesthesia,Anesthesia Services,CPT
01320,Anesthesia for procedure 1320,Anesthesia,Anesthesia Services,CPT
01330,Anesthesia for procedure 1330,Anesthesia,Anesthesia Services,CPT
01340,Anesthesia for procedure 1340,Anesthesia,Anesthesia Services,CPT
01350,Anesthesia for procedure 1350,Anesthesia,Anesthesia Services,CPT
01360,Anesthesia for procedure 1360,Anesthesia,Anesthesia Services,CPT
0136T,Emerging technology procedure 136T,Category III - Emerging Technology,Investigational,CPT
01370,Anesthesia for procedure 1370,Anesthesia,Anesthesia Services,CPT
01380,Anesthesia for procedure 1380,Anesthesia,Anesthesia Services,CPT
01390,Anesthesia for procedure 1390,Anesthesia,Anesthesia Services,CPT
01400,Anesthesia for procedure 1400,Anesthesia,Anesthesia Services,CPT
01410,Anesthesia for procedure 1410,Anesthesia,Anesthesia Services,CPT
01420,Anesthesia for procedure 1420,Anesthesia,Anesthesia Services,CPT
01430,Anesthesia for procedure 1430,Anesthesia,Anesthesia Services,CPT
01440,Anesthesia for procedure 1440,Anesthesia,Anesthesia Services,CPT
01450,Anesthesia for procedure 1450,Anesthesia,Anesthesia Services,CPT
01460,Anesthesia for procedure 1460,Anesthesia,Anesthesia Services,CPT
0146T,Emerging technology procedure 146T,Category III - Emerging Technology,Investigational,CPT
01470,Anesthesia for procedure 1470,Anesthesia,Anesthesia Services,CPT
01480,Anesthesia for procedure 1480,Anesthesia,Anesthesia Services,CPT
01490,Anesthesia for procedure 1490,Anesthesia,Anesthesia Services,CPT
01500,Anesthesia for procedure 1500,Anesthesia,Anesthesia Services,CPT
01510,Anesthesia for procedure 1510,Anesthesia,Anesthesia Services,CPT
0151F,Performance measure 151F,Category II - Performance Measures,Quality Measurement,CPT
01520,Anesthesia for procedure 1520,Anesthesia,Anesthesia Services,CPT
01530,Anesthesia for procedure 1530,Anesthesia,Anesthesia Services,CPT
01540,Anesthesia for procedure 1540,Anesthesia,Anesthesia Services,CPT
01550,Anesthesia for procedure 1550,Anesthesia,Anesthesia Services,CPT
01560,Anesthesia for procedure 1560,Anesthesia,Anesthesia Services,CPT
0156T,Emerging technology procedure 156T,Category III - Emerging Technology,Investigational,CPT
01570,Anesthesia for procedure 1570,Anesthesia,Anesthesia Services,CPT
01580,Anesthesia for procedure 1580,Anesthesia,Anesthesia Services,CPT
01590,Anesthesia for procedure 1590,Anesthesia,Anesthesia Services,CPT
01600,Anesthesia for procedure 1600,Anesthesia,Anesthesia Services,CPT
01610,Anesthesia for procedure 1610,Anesthesia,Anesthesia Services,CPT
01620,Anesthesia for procedure 1620,Anesthesia,Anesthesia Services,CPT
01630,Anesthesia for procedure 1630,Anesthesia,Anesthesia Services,CPT
01640,Anesthesia for procedure 1640,Anesthesia,Anesthesia Services,CPT
01650,Anesthesia for procedure 1650,Anesthesia,Anesthesia Services,CPT
01660,Anesthesia for procedure 1660,Anesthesia,Anesthesia Services,CPT
0166T,Emerging technology procedure 166T,Category III - Emerging Technology,Investigational,CPT
01670,Anesthesia for procedure 1670,Anesthesia,Anesthesia Services,CPT
01680,Anesthesia for procedure 1680,Anesthesia,Anesthesia Services,CPT
01690,Anesthesia for procedure 1690,Anesthesia,Anesthesia Services,CPT
01700,Anesthesia for procedure 1700,Anesthesia,Anesthesia Services,CPT
01710,Anesthesia for procedure 1710,Anesthesia,Anesthesia Services,CPT
01720,Anesthesia for procedure 1720,Anesthesia,Anesthesia Services,CPT
01730,Anesthesia for procedure 1730,Anesthesia,Anesthesia Services,CPT
01740,Anesthesia for procedure 1740,Anesthesia,Anesthesia Services,CPT
01750,Anesthesia for procedure 1750,Anesthesia,Anesthesia Services,CPT
01760,Anesthesia for procedure 1760,Anesthesia,Anesthesia Services,CPT
0176T,Emerging technology procedure 176T,Category III - Emerging Technology,Investigational,CPT
01770,Anesthesia for procedure 1770,Anesthesia,Anesthesia Services,CPT
01780,Anesthesia for procedure 1780,Anesthesia,Anesthesia Services,CPT
01790,Anesthesia for procedure 1790,Anesthesia,Anesthesia Services,CPT
01800,Anesthesia for procedure 1800,Anesthesia,Anesthesia Services,CPT
01810,Anesthesia for procedure 1810,Anesthesia,Anesthesia Services,CPT
01820,Anesthesia for procedure 1820,Anesthesia,Anesthesia Services,CPT
01830,Anesthesia for procedure 1830,Anesthesia,Anesthesia Services,CPT
01840,Anesthesia for procedure 1840,Anesthesia,Anesthesia Services,CPT
01850,Anesthesia for procedure 1850,Anesthesia,Anesthesia Services,CPT
01860,Anesthesia for procedure 1860,Anesthesia,Anesthesia Services,CPT
0186T,Emerging technology procedure 186T,Category III - Emerging Technology,Investigational,CPT
01870,Anesthesia for procedure 1870,Anesthesia,Anesthesia Services,CPT
01880,Anesthesia for procedure 1880,Anesthesia,Anesthesia Services,CPT
01890,Anesthesia for procedure 1890,Anesthesia,Anesthesia Services,CPT
01900,Anesthesia for procedure 1900,Anesthesia,Anesthesia Services,CPT
01910,Anesthesia for procedure 1910,Anesthesia,Anesthesia Services,CPT
01920,Anesthesia for procedure 1920,Anesthesia,Anesthesia Services,CPT
01930,Anesthesia for procedure 1930,Anesthesia,Anesthesia Services,CPT
01940,Anesthesia for procedure 1940,Anesthesia,Anesthesia Services,CPT
01950,Anesthesia for procedure 1950,Anesthesia,Anesthesia Services,CPT
01960,Anesthesia for procedure 1960,Anesthesia,Anesthesia Services,CPT
0196T,Emerging technology procedure 196T,Category III - Emerging Technology,Investigational,CPT
01970,Anesthesia for procedure 1970,Anesthesia,Anesthesia Services,CPT
01980,Anesthesia for procedure 1980,Anesthesia,Anesthesia Services,CPT
01990,Anesthesia for procedure 1990,Anesthesia,Anesthesia Services,CPT
0201F,Performance measure 201F,Category II - Performance Measures,Quality Measurement,CPT
0206T,Emerging technology procedure 206T,Category III - Emerging Technology,Investigational,CPT
0216T,Emerging technology procedure 216T,Category III - Emerging Technology,Investigational,CPT
0226T,Emerging technology procedure 226T,Category III - Emerging Technology,Investigational,CPT
0236T,Emerging technology procedure 236T,Category III - Emerging Technology,Investigational,CPT
0246T,Emerging technology procedure 246T,Category III - Emerging Technology,Investigational,CPT
0251F,Performance measure 251F,Category II - Performance Measures,Quality Measurement,CPT
0256T,Emerging technology procedure 256T,Category III - Emerging Technology,Investigational,CPT
0266T,Emerging technology procedure 266T,Category III - Emerging Technology,Investigational,CPT
0276T,Emerging technology procedure 276T,Category III - Emerging Technology,Investigational,CPT
0286T,Emerging technology procedure 286T,Category III - Emerging Technology,Investigational,CPT
0296T,Emerging technology procedure 296T,Category III - Emerging Technology,Investigational,CPT
0301F,Performance measure 301F,Category II - Performance Measures,Quality Measurement,CPT
0306T,Emerging technology procedure 306T,Category III - Emerging Technology,Investigational,CPT
0316T,Emerging technology procedure 316T,Category III - Emerging Technology,Investigational,CPT
0326T,Emerging technology procedure 326T,Category III - Emerging Technology,Investigational,CPT
0336T,Emerging technology procedure 336T,Category III - Emerging Technology,Investigational,CPT
0346T,Emerging technology procedure 346T,Category III - Emerging Technology,Investigational,CPT
0351F,Performance measure 351F,Category II - Performance Measures,Quality Measurement,CPT
0356T,Emerging technology procedure 356T,Category III - Emerging Technology,Investigational,CPT
0366T,Emerging technology procedure 366T,Category III - Emerging Technology,Investigational,CPT
0376T,Emerging technology procedure 376T,Category III - Emerging Technology,Investigational,CPT
0386T,Emerging technology procedure 386T,Category III - Emerging Technology,Investigational,CPT
0396T,Emerging technology procedure 396T,Category III - Emerging Technology,Investigational,CPT
0401F,Performance measure 401F,Category II - Performance Measures,Quality Measurement,CPT
0406T,Emerging technology procedure 406T,Category III - Emerging Technology,Investigational,CPT
0416T,Emerging technology procedure 416T,Category III - Emerging Technology,Investigational,CPT
0426T,Emerging technology procedure 426T,Category III - Emerging Technology,Investigational,CPT
0436T,Emerging technology procedure 436T,Category III - Emerging Technology,Investigational,CPT
0446T,Emerging technology procedure 446T,Category III - Emerging Technology,Investigational,CPT
0451F,Performance measure 451F,Category II - Performance Measures,Quality Measurement,CPT
0456T,Emerging technology procedure 456T,Category III - Emerging Technology,Investigational,CPT
0466T,Emerging technology procedure 466T,Category III - Emerging Technology,Investigational,CPT
0476T,Emerging technology procedure 476T,Category III - Emerging Technology,Investigational,CPT
0486T,Emerging technology procedure 486T,Category III - Emerging Technology,Investigational,CPT
0496T,Emerging technology procedure 496T,Category III - Emerging Technology,Investigational,CPT
0501F,Performance measure 501F,Category II - Performance Measures,Quality Measurement,CPT
0506T,Emerging technology procedure 506T,Category III - Emerging Technology,Investigational,CPT
0516T,Emerging technology procedure 516T,Category III - Emerging Technology,Investigational,CPT
0526T,Emerging technology procedure 526T,Category III - Emerging Technology,Investigational,CPT
0536T,Emerging technology procedure 536T,Category III - Emerging Technology,Investigational,CPT
0546T,Emerging technology procedure 546T,Category III - Emerging Technology,Investigational,CPT
0551F,Performance measure 551F,Category II - Performance Measures,Quality Measurement,CPT
0556T,Emerging technology procedure 556T,Category III - Emerging Technology,Investigational,CPT
0566T,Emerging technology procedure 566T,Category III - Emerging Technology,Investigational,CPT
0576T,Emerging technology procedure 576T,Category III - Emerging Technology,Investigational,CPT
0586T,Emerging technology procedure 586T,Category III - Emerging Technology,Investigational,CPT
0596T,Emerging technology procedure 596T,Category III - Emerging Technology,Investigational,CPT
0601F,Performance measure 601F,Category II - Performance Measures,Quality Measurement,CPT
0606T,Emerging technology procedure 606T,Category III - Emerging Technology,Investigational,CPT
0616T,Emerging technology procedure 616T,Category III - Emerging Technology,Investigational,CPT
0626T,Emerging technology procedure 626T,Category III - Emerging Technology,Investigational,CPT
0636T,Emerging technology procedure 636T,Category III - Emerging Technology,Investigational,CPT
0646T,Emerging technology procedure 646T,Category III - Emerging Technology,Investigational,CPT
0651F,Performance measure 651F,Category II - Performance Measures,Quality Measurement,CPT
0656T,Emerging technology procedure 656T,Category III - Emerging Technology,Investigational,CPT
0666T,Emerging technology procedure 666T,Category III - Emerging Technology,Investigational,CPT
0676T,Emerging technology procedure 676T,Category III - Emerging Technology,Investigational,CPT
0686T,Emerging technology procedure 686T,Category III - Emerging Technology,Investigational,CPT
0696T,Emerging technology procedure 696T,Category III - Emerging Technology,Investigational,CPT
0701F,Performance measure 701F,Category II - Performance Measures,Quality Measurement,CPT
0706T,Emerging technology procedure 706T,Category III - Emerging Technology,Investigational,CPT
0716T,Emerging technology procedure 716T,Category III - Emerging Technology,Investigational,CPT
0726T,Emerging technology procedure 726T,Category III - Emerging Technology,Investigational,CPT
0736T,Emerging technology procedure 736T,Category III - Emerging Technology,Investigational,CPT
0746T,Emerging technology procedure 746T,Category III - Emerging Technology,Investigational,CPT
0751F,Performance measure 751F,Category II - Performance Measures,Quality Measurement,CPT
0756T,Emerging technology procedure 756T,Category III - Emerging Technology,Investigational,CPT
0766T,Emerging technology procedure 766T,Category III - Emerging Technology,Investigational,CPT
0776T,Emerging technology procedure 776T,Category III - Emerging Technology,Investigational,CPT
0786T,Emerging technology procedure 786T,Category III - Emerging Technology,Investigational,CPT
0796T,Emerging technology procedure 796T,Category III - Emerging Technology,Investigational,CPT
0801F,Performance measure 801F,Category II - Performance Measures,Quality Measurement,CPT
0806T,Emerging technology procedure 806T,Category III - Emerging Technology,Investigational,CPT
0816T,Emerging technology procedure 816T,Category III - Emerging Technology,Investigational,CPT
0826T,Emerging technology procedure 826T,Category III - Emerging Technology,Investigational,CPT
0836T,Emerging technology procedure 836T,Category III - Emerging Technology,Investigational,CPT
0846T,Emerging technology procedure 846T,Category III - Emerging Technology,Investigational,CPT
0851F,Performance measure 851F,Category II - Performance Measures,Quality Measurement,CPT
0856T,Emerging technology procedure 856T,Category III - Emerging Technology,Investigational,CPT
0866T,Emerging technology procedure 866T,Category III - Emerging Technology,Investigational,CPT
0876T,Emerging technology procedure 876T,Category III - Emerging Technology,Investigational,CPT
0886T,Emerging technology procedure 886T,Category III - Emerging Technology,Investigational,CPT
0896T,Emerging technology procedure 896T,Category III - Emerging Technology,Investigational,CPT
0901F,Performance measure 901F,Category II - Performance Measures,Quality Measurement,CPT
0906T,Emerging technology procedure 906T,Category III - Emerging Technology,Investigational,CPT
0916T,Emerging technology procedure 916T,Category III - Emerging Technology,Investigational,CPT
0926T,Emerging technology procedure 926T,Category III - Emerging Technology,Investigational,CPT
0936T,Emerging technology procedure 936T,Category III - Emerging Technology,Investigational,CPT
0946T,Emerging technology procedure 946T,Category III - Emerging Technology,Investigational,CPT
0951F,Performance measure 951F,Category II - Performance Measures,Quality Measurement,CPT
0956T,Emerging technology procedure 956T,Category III - Emerging Technology,Investigational,CPT
0966T,Emerging technology procedure 966T,Category III - Emerging Technology,Investigational,CPT
0976T,Emerging technology procedure 976T,Category III - Emerging Technology,Investigational,CPT
0986T,Emerging technology procedure 986T,Category III - Emerging Technology,Investigational,CPT
0996T,Emerging technology procedure 996T,Category III - Emerging Technology,Investigational,CPT
10000,Integumentary system procedure 10000,Surgery,Integumentary System,CPT
1001F,Performance measure 1001F,Category II - Performance Measures,Quality Measurement,CPT
10025,Integumentary system procedure 10025,Surgery,Integumentary System,CPT
10050,Integumentary system procedure 10050,Surgery,Integumentary System,CPT
10075,Integumentary system procedure 10075,Surgery,Integumentary System,CPT
10100,Integumentary system procedure 10100,Surgery,Integumentary System,CPT
10125,Integumentary system procedure 10125,Surgery,Integumentary System,CPT
10150,Integumentary system procedure 10150,Surgery,Integumentary System,CPT
10175,Integumentary system procedure 10175,Surgery,Integumentary System,CPT
10200,Integumentary system procedure 10200,Surgery,Integumentary System,CPT
10225,Integumentary system procedure 10225,Surgery,Integumentary System,CPT
10250,Integumentary system procedure 10250,Surgery,Integumentary System,CPT
10275,Integumentary system procedure 10275,Surgery,Integumentary System,CPT
10300,Integumentary system procedure 10300,Surgery,Integumentary System,CPT
10325,Integumentary system procedure 10325,Surgery,Integumentary System,CPT
10350,Integumentary system procedure 10350,Surgery,Integumentary System,CPT
10375,Integumentary system procedure 10375,Surgery,Integumentary System,CPT
10400,Integumentary system procedure 10400,Surgery,Integumentary System,CPT
10425,Integumentary system procedure 10425,Surgery,Integumentary System,CPT
10450,Integumentary system procedure 10450,Surgery,Integumentary System,CPT
10475,Integumentary system procedure 10475,Surgery,Integumentary System,CPT
10500,Integumentary system procedure 10500,Surgery,Integumentary System,CPT
1051F,Performance measure 1051F,Category II - Performance Measures,Quality Measurement,CPT
10525,Integumentary system procedure 10525,Surgery,Integumentary System,CPT
10550,Integumentary system procedure 10550,Surgery,Integumentary System,CPT
10575,Integumentary system procedure 10575,Surgery,Integumentary System,CPT
10600,Integumentary system procedure 10600,Surgery,Integumentary System,CPT
10625,Integumentary system procedure 10625,Surgery,Integumentary System,CPT
10650,Integumentary system procedure 10650,Surgery,Integumentary System,CPT
10675,Integumentary system procedure 10675,Surgery,Integumentary System,CPT
10700,Integumentary system procedure 10700,Surgery,Integumentary System,CPT
10725,Integumentary system procedure 10725,Surgery,Integumentary System,CPT
10750,Integumentary system procedure 10750,Surgery,Integumentary System,CPT
10775,Integumentary system procedure 10775,Surgery,Integumentary System,CPT
10800,Integumentary system procedure 10800,Surgery,Integumentary System,CPT
10825,Integumentary system procedure 10825,Surgery,Integumentary System,CPT
10850,Integumentary system procedure 10850,Surgery,Integumentary System,CPT
10875,Integumentary system procedure 10875,Surgery,Integumentary System,CPT
10900,Integumentary system procedure 10900,Surgery,Integumentary System,CPT
10925,Integumentary system procedure 10925,Surgery,Integumentary System,CPT
10950,Integumentary system procedure 10950,Surgery,Integumentary System,CPT
10975,Integumentary system procedure 10975,Surgery,Integumentary System,CPT
11000,Integumentary system procedure 11000,Surgery,Integumentary System,CPT
1101F,Performance measure 1101F,Category II - Performance Measures,Quality Measurement,CPT
11025,Integumentary system procedure 11025,Surgery,Integumentary System,CPT
11050,Integumentary system procedure 11050,Surgery,Integumentary System,CPT
11075,Integumentary system procedure 11075,Surgery,Integumentary System,CPT
11100,Integumentary system procedure 11100,Surgery,Integumentary System,CPT
11125,Integumentary system procedure 11125,Surgery,Integumentary System,CPT
11150,Integumentary system procedure 11150,Surgery,Integumentary System,CPT
11175,Integumentary system procedure 11175,Surgery,Integumentary System,CPT
11200,Integumentary system procedure 11200,Surgery,Integumentary System,CPT
11225,Integumentary system procedure 11225,Surgery,Integumentary System,CPT
11250,Integumentary system procedure 11250,Surgery,Integumentary System,CPT
11275,Integumentary system procedure 11275,Surgery,Integumentary System,CPT
11300,Integumentary system procedure 11300,Surgery,Integumentary System,CPT
11325,Integumentary system procedure 11325,Surgery,Integumentary System,CPT
11350,Integumentary system procedure 11350,Surgery,Integumentary System,CPT
11375,Integumentary system procedure 11375,Surgery,Integumentary System,CPT
11400,Integumentary system procedure 11400,Surgery,Integumentary System,CPT
11425,Integumentary system procedure 11425,Surgery,Integumentary System,CPT
11450,Integumentary system procedure 11450,Surgery,Integumentary System,CPT
11475,Integumentary system procedure 11475,Surgery,Integumentary System,CPT
11500,Integumentary system procedure 11500,Surgery,Integumentary System,CPT
1151F,Performance measure 1151F,Category II - Performance Measures,Quality Measurement,CPT
11525,Integumentary system procedure 11525,Surgery,Integumentary System,CPT
11550,Integumentary system procedure 11550,Surgery,Integumentary System,CPT
11575,Integumentary system procedure 11575,Surgery,Integumentary System,CPT
11600,Integumentary system procedure 11600,Surgery,Integumentary System,CPT
11625,Integumentary system procedure 11625,Surgery,Integumentary System,CPT
11650,Integumentary system procedure 11650,Surgery,Integumentary System,CPT
11675,Integumentary system procedure 11675,Surgery,Integumentary System,CPT
11700,Integumentary system procedure 11700,Surgery,Integumentary System,CPT
11725,Integumentary system procedure 11725,Surgery,Integumentary System,CPT
11750,Integumentary system procedure 11750,Surgery,Integumentary System,CPT
11775,Integumentary system procedure 11775,Surgery,Integumentary System,CPT
11800,Integumentary system procedure 11800,Surgery,Integumentary System,CPT
11825,Integumentary system procedure 11825,Surgery,Integumentary System,CPT
11850,Integumentary system procedure 11850,Surgery,Integumentary System,CPT
