code,description,category,code_system
A0856,"Ambulance service, transport/supply type 856",Ambulance Services,HCPCS Level II
A0861,"Ambulance service, transport/supply type 861",Ambulance Services,HCPCS Level II
A0866,"Ambulance service, transport/supply type 866",Ambulance Services,HCPCS Level II
A0871,"Ambulance service, transport/supply type 871",Ambulance Services,HCPCS Level II
A0876,"Ambulance service, transport/supply type 876",Ambulance Services,HCPCS Level II
A0881,"Ambulance service, transport/supply type 881",Ambulance Services,HCPCS Level II
A0886,"Ambulance service, transport/supply type 886",Ambulance Services,HCPCS Level II
A0891,"Ambulance service, transport/supply type 891",Ambulance Services,HCPCS Level II
A0896,"Ambulance service, transport/supply type 896",Ambulance Services,HCPCS Level II
A0901,"Ambulance service, transport/supply type 901",Ambulance Services,HCPCS Level II
A0906,"Ambulance service, transport/supply type 906",Ambulance Services,HCPCS Level II
A0911,"Ambulance service, transport/supply type 911",Ambulance Services,HCPCS Level II
A0916,"Ambulance service, transport/supply type 916",Ambulance Services,HCPCS Level II
A0921,"Ambulance service, transport/supply type 921",Ambulance Services,HCPCS Level II
A0926,"Ambulance service, transport/supply type 926",Ambulance Services,HCPCS Level II
A0931,"Ambulance service, transport/supply type 931",Ambulance Services,HCPCS Level II
A0936,"Ambulance service, transport/supply type 936",Ambulance Services,HCPCS Level II
A0941,"Ambulance service, transport/supply type 941",Ambulance Services,HCPCS Level II
A0946,"Ambulance service, transport/supply type 946",Ambulance Services,HCPCS Level II
A0951,"Ambulance service, transport/supply type 951",Ambulance Services,HCPCS Level II
A0956,"Ambulance service, transport/supply type 956",Ambulance Services,HCPCS Level II
A0961,"Ambulance service, transport/supply type 961",Ambulance Services,HCPCS Level II
A0966,"Ambulance service, transport/supply type 966",Ambulance Services,HCPCS Level II
A0971,"Ambulance service, transport/supply type 971",Ambulance Services,HCPCS Level II
A0976,"Ambulance service, transport/supply type 976",Ambulance Services,HCPCS Level II
A0981,"Ambulance service, transport/supply type 981",Ambulance Services,HCPCS Level II
A0986,"Ambulance service, transport/supply type 986",Ambulance Services,HCPCS Level II
A0991,"Ambulance service, transport/supply type 991",Ambulance Services,HCPCS Level II
A0996,"Ambulance service, transport/supply type 996",Ambulance Services,HCPCS Level II
A4000,"Medical/surgical supply, type 4000",Medical/Surgical Supplies,HCPCS Level II
A4010,"Medical/surgical supply, type 4010",Medical/Surgical Supplies,HCPCS Level II
A4020,"Medical/surgical supply, type 4020",Medical/Surgical Supplies,HCPCS Level II
A4030,"Medical/surgical supply, type 4030",Medical/Surgical Supplies,HCPCS Level II
A4040,"Medical/surgical supply, type 4040",Medical/Surgical Supplies,HCPCS Level II
A4050,"Medical/surgical supply, type 4050",Medical/Surgical Supplies,HCPCS Level II
A4060,"Medical/surgical supply, type 4060",Medical/Surgical Supplies,HCPCS Level II
A4070,"Medical/surgical supply, type 4070",Medical/Surgical Supplies,HCPCS Level II
A4080,"Medical/surgical supply, type 4080",Medical/Surgical Supplies,HCPCS Level II
A4090,"Medical/surgical supply, type 4090",Medical/Surgical Supplies,HCPCS Level II
A4100,"Medical/surgical supply, type 4100",Medical/Surgical Supplies,HCPCS Level II
A4110,"Medical/surgical supply, type 4110",Medical/Surgical Supplies,HCPCS Level II
A4120,"Medical/surgical supply, type 4120",Medical/Surgical Supplies,HCPCS Level II
A4130,"Medical/surgical supply, type 4130",Medical/Surgical Supplies,HCPCS Level II
A4140,"Medical/surgical supply, type 4140",Medical/Surgical Supplies,HCPCS Level II
A4150,"Medical/surgical supply, type 4150",Medical/Surgical Supplies,HCPCS Level II
A4160,"Medical/surgical supply, type 4160",Medical/Surgical Supplies,HCPCS Level II
A4170,"Medical/surgical supply, type 4170",Medical/Surgical Supplies,HCPCS Level II
A4180,"Medical/surgical supply, type 4180",Medical/Surgical Supplies,HCPCS Level II
A4190,"Medical/surgical supply, type 4190",Medical/Surgical Supplies,HCPCS Level II
A4200,"Medical/surgical supply, type 4200",Medical/Surgical Supplies,HCPCS Level II
A4210,"Medical/surgical supply, type 4210",Medical/Surgical Supplies,HCPCS Level II
A4220,"Medical/surgical supply, type 4220",Medical/Surgical Supplies,HCPCS Level II
A4230,"Medical/surgical supply, type 4230",Medical/Surgical Supplies,HCPCS Level II
A4240,"Medical/surgical supply, type 4240",Medical/Surgical Supplies,HCPCS Level II
A4250,"Medical/surgical supply, type 4250",Medical/Surgical Supplies,HCPCS Level II
A4260,"Medical/surgical supply, type 4260",Medical/Surgical Supplies,HCPCS Level II
A4270,"Medical/surgical supply, type 4270",Medical/Surgical Supplies,HCPCS Level II
A4280,"Medical/surgical supply, type 4280",Medical/Surgical Supplies,HCPCS Level II
A4290,"Medical/surgical supply, type 4290",Medical/Surgical Supplies,HCPCS Level II
A4300,"Medical/surgical supply, type 4300",Medical/Surgical Supplies,HCPCS Level II
A4310,"Medical/surgical supply, type 4310",Medical/Surgical Supplies,HCPCS Level II
A4320,"Medical/surgical supply, type 4320",Medical/Surgical Supplies,HCPCS Level II
A4330,"Medical/surgical supply, type 4330",Medical/Surgical Supplies,HCPCS Level II
A4340,"Medical/surgical supply, type 4340",Medical/Surgical Supplies,HCPCS Level II
A4350,"Medical/surgical supply, type 4350",Medical/Surgical Supplies,HCPCS Level II
A4360,"Medical/surgical supply, type 4360",Medical/Surgical Supplies,HCPCS Level II
A4370,"Medical/surgical supply, type 4370",Medical/Surgical Supplies,HCPCS Level II
A4380,"Medical/surgical supply, type 4380",Medical/Surgical Supplies,HCPCS Level II
A4390,"Medical/surgical supply, type 4390",Medical/Surgical Supplies,HCPCS Level II
A4400,"Medical/surgical supply, type 4400",Medical/Surgical Supplies,HCPCS Level II
A4410,"Medical/surgical supply, type 4410",Medical/Surgical Supplies,HCPCS Level II
A4420,"Medical/surgical supply, type 4420",Medical/Surgical Supplies,HCPCS Level II
A4430,"Medical/surgical supply, type 4430",Medical/Surgical Supplies,HCPCS Level II
A4440,"Medical/surgical supply, type 4440",Medical/Surgical Supplies,HCPCS Level II
A4450,"Medical/surgical supply, type 4450",Medical/Surgical Supplies,HCPCS Level II
A4460,"Medical/surgical supply, type 4460",Medical/Surgical Supplies,HCPCS Level II
A4470,"Medical/surgical supply, type 4470",Medical/Surgical Supplies,HCPCS Level II
A4480,"Medical/surgical supply, type 4480",Medical/Surgical Supplies,HCPCS Level II
A4490,"Medical/surgical supply, type 4490",Medical/Surgical Supplies,HCPCS Level II
A4500,"Medical/surgical supply, type 4500",Medical/Surgical Supplies,HCPCS Level II
A4510,"Medical/surgical supply, type 4510",Medical/Surgical Supplies,HCPCS Level II
A4520,"Medical/surgical supply, type 4520",Medical/Surgical Supplies,HCPCS Level II
A4530,"Medical/surgical supply, type 4530",Medical/Surgical Supplies,HCPCS Level II
A4540,"Medical/surgical supply, type 4540",Medical/Surgical Supplies,HCPCS Level II
A4550,"Medical/surgical supply, type 4550",Medical/Surgical Supplies,HCPCS Level II
A4560,"Medical/surgical supply, type 4560",Medical/Surgical Supplies,HCPCS Level II
A4570,"Medical/surgical supply, type 4570",Medical/Surgical Supplies,HCPCS Level II
A4580,"Medical/surgical supply, type 4580",Medical/Surgical Supplies,HCPCS Level II
A4590,"Medical/surgical supply, type 4590",Medical/Surgical Supplies,HCPCS Level II
A4600,"Medical/surgical supply, type 4600",Medical/Surgical Supplies,HCPCS Level II
A4610,"Medical/surgical supply, type 4610",Medical/Surgical Supplies,HCPCS Level II
A4620,"Medical/surgical supply, type 4620",Medical/Surgical Supplies,HCPCS Level II
A4630,"Medical/surgical supply, type 4630",Medical/Surgical Supplies,HCPCS Level II
A4640,"Medical/surgical supply, type 4640",Medical/Surgical Supplies,HCPCS Level II
A4650,"Medical/surgical supply, type 4650",Medical/Surgical Supplies,HCPCS Level II
A4660,"Medical/surgical supply, type 4660",Medical/Surgical Supplies,HCPCS Level II
A4670,"Medical/surgical supply, type 4670",Medical/Surgical Supplies,HCPCS Level II
A4680,"Medical/surgical supply, type 4680",Medical/Surgical Supplies,HCPCS Level II
A4690,"Medical/surgical supply, type 4690",Medical/Surgical Supplies,HCPCS Level II
A4700,"Medical/surgical supply, type 4700",Medical/Surgical Supplies,HCPCS Level II
A4710,"Medical/surgical supply, type 4710",Medical/Surgical Supplies,HCPCS Level II
A4720,"Medical/surgical supply, type 4720",Medical/Surgical Supplies,HCPCS Level II
A4730,"Medical/surgical supply, type 4730",Medical/Surgical Supplies,HCPCS Level II
A4740,"Medical/surgical supply, type 4740",Medical/Surgical Supplies,HCPCS Level II
A4750,"Medical/surgical supply, type 4750",Medical/Surgical Supplies,HCPCS Level II
A4760,"Medical/surgical supply, type 4760",Medical/Surgical Supplies,HCPCS Level II
A4770,"Medical/surgical supply, type 4770",Medical/Surgical Supplies,HCPCS Level II
A4780,"Medical/surgical supply, type 4780",Medical/Surgical Supplies,HCPCS Level II
A4790,"Medical/surgical supply, type 4790",Medical/Surgical Supplies,HCPCS Level II
A4800,"Medical/surgical supply, type 4800",Medical/Surgical Supplies,HCPCS Level II
A4810,"Medical/surgical supply, type 4810",Medical/Surgical Supplies,HCPCS Level II
A4820,"Medical/surgical supply, type 4820",Medical/Surgical Supplies,HCPCS Level II
A4830,"Medical/surgical supply, type 4830",Medical/Surgical Supplies,HCPCS Level II
A4840,"Medical/surgical supply, type 4840",Medical/Surgical Supplies,HCPCS Level II
A4850,"Medical/surgical supply, type 4850",Medical/Surgical Supplies,HCPCS Level II
A4860,"Medical/surgical supply, type 4860",Medical/Surgical Supplies,HCPCS Level II
A4870,"Medical/surgical supply, type 4870",Medical/Surgical Supplies,HCPCS Level II
A4880,"Medical/surgical supply, type 4880",Medical/Surgical Supplies,HCPCS Level II
A4890,"Medical/surgical supply, type 4890",Medical/Surgical Supplies,HCPCS Level II
A4900,"Medical/surgical supply, type 4900",Medical/Surgical Supplies,HCPCS Level II
A4910,"Medical/surgical supply, type 4910",Medical/Surgical Supplies,HCPCS Level II
A4920,"Medical/surgical supply, type 4920",Medical/Surgical Supplies,HCPCS Level II
A4930,"Medical/surgical supply, type 4930",Medical/Surgical Supplies,HCPCS Level II
A4940,"Medical/surgical supply, type 4940",Medical/Surgical Supplies,HCPCS Level II
A4950,"Medical/surgical supply, type 4950",Medical/Surgical Supplies,HCPCS Level II
A4960,"Medical/surgical supply, type 4960",Medical/Surgical Supplies,HCPCS Level II
A4970,"Medical/surgical supply, type 4970",Medical/Surgical Supplies,HCPCS Level II
A4980,"Medical/surgical supply, type 4980",Medical/Surgical Supplies,HCPCS Level II
A4990,"Medical/surgical supply, type 4990",Medical/Surgical Supplies,HCPCS Level II
A5000,"Medical/surgical supply, type 5000",Medical/Surgical Supplies,HCPCS Level II
A5010,"Medical/surgical supply, type 5010",Medical/Surgical Supplies,HCPCS Level II
A5020,"Medical/surgical supply, type 5020",Medical/Surgical Supplies,HCPCS Level II
A5030,"Medical/surgical supply, type 5030",Medical/Surgical Supplies,HCPCS Level II
A5040,"Medical/surgical supply, type 5040",Medical/Surgical Supplies,HCPCS Level II
A5050,"Medical/surgical supply, type 5050",Medical/Surgical Supplies,HCPCS Level II
A5060,"Medical/surgical supply, type 5060",Medical/Surgical Supplies,HCPCS Level II
A5070,"Medical/surgical supply, type 5070",Medical/Surgical Supplies,HCPCS Level II
A5080,"Medical/surgical supply, type 5080",Medical/Surgical Supplies,HCPCS Level II
A5090,"Medical/surgical supply, type 5090",Medical/Surgical Supplies,HCPCS Level II
A5100,"Medical/surgical supply, type 5100",Medical/Surgical Supplies,HCPCS Level II
A5110,"Medical/surgical supply, type 5110",Medical/Surgical Supplies,HCPCS Level II
A5120,"Medical/surgical supply, type 5120",Medical/Surgical Supplies,HCPCS Level II
A5130,"Medical/surgical supply, type 5130",Medical/Surgical Supplies,HCPCS Level II
A5140,"Medical/surgical supply, type 5140",Medical/Surgical Supplies,HCPCS Level II
A5150,"Medical/surgical supply, type 5150",Medical/Surgical Supplies,HCPCS Level II
A5160,"Medical/surgical supply, type 5160",Medical/Surgical Supplies,HCPCS Level II
A5170,"Medical/surgical supply, type 5170",Medical/Surgical Supplies,HCPCS Level II
A5180,"Medical/surgical supply, type 5180",Medical/Surgical Supplies,HCPCS Level II
A5190,"Medical/surgical supply, type 5190",Medical/Surgical Supplies,HCPCS Level II
A5200,"Medical/surgical supply, type 5200",Medical/Surgical Supplies,HCPCS Level II
A5210,"Medical/surgical supply, type 5210",Medical/Surgical Supplies,HCPCS Level II
A5220,"Medical/surgical supply, type 5220",Medical/Surgical Supplies,HCPCS Level II
A5230,"Medical/surgical supply, type 5230",Medical/Surgical Supplies,HCPCS Level II
A5240,"Medical/surgical supply, type 5240",Medical/Surgical Supplies,HCPCS Level II
A5250,"Medical/surgical supply, type 5250",Medical/Surgical Supplies,HCPCS Level II
A5260,"Medical/surgical supply, type 5260",Medical/Surgical Supplies,HCPCS Level II
A5270,"Medical/surgical supply, type 5270",Medical/Surgical Supplies,HCPCS Level II
A5280,"Medical/surgical supply, type 5280",Medical/Surgical Supplies,HCPCS Level II
A5290,"Medical/surgical supply, type 5290",Medical/Surgical Supplies,HCPCS Level II
A5300,"Medical/surgical supply, type 5300",Medical/Surgical Supplies,HCPCS Level II
A5310,"Medical/surgical supply, type 5310",Medical/Surgical Supplies,HCPCS Level II
A5320,"Medical/surgical supply, type 5320",Medical/Surgical Supplies,HCPCS Level II
A5330,"Medical/surgical supply, type 5330",Medical/Surgical Supplies,HCPCS Level II
A5340,"Medical/surgical supply, type 5340",Medical/Surgical Supplies,HCPCS Level II
A5350,"Medical/surgical supply, type 5350",Medical/Surgical Supplies,HCPCS Level II
A5360,"Medical/surgical supply, type 5360",Medical/Surgical Supplies,HCPCS Level II
A5370,"Medical/surgical supply, type 5370",Medical/Surgical Supplies,HCPCS Level II
A5380,"Medical/surgical supply, type 5380",Medical/Surgical Supplies,HCPCS Level II
A5390,"Medical/surgical supply, type 5390",Medical/Surgical Supplies,HCPCS Level II
A5400,"Medical/surgical supply, type 5400",Medical/Surgical Supplies,HCPCS Level II
A5410,"Medical/surgical supply, type 5410",Medical/Surgical Supplies,HCPCS Level II
A5420,"Medical/surgical supply, type 5420",Medical/Surgical Supplies,HCPCS Level II
A5430,"Medical/surgical supply, type 5430",Medical/Surgical Supplies,HCPCS Level II
A5440,"Medical/surgical supply, type 5440",Medical/Surgical Supplies,HCPCS Level II
A5450,"Medical/surgical supply, type 5450",Medical/Surgical Supplies,HCPCS Level II
A5460,"Medical/surgical supply, type 5460",Medical/Surgical Supplies,HCPCS Level II
A5470,"Medical/surgical supply, type 5470",Medical/Surgical Supplies,HCPCS Level II
A5480,"Medical/surgical supply, type 5480",Medical/Surgical Supplies,HCPCS Level II
A5490,"Medical/surgical supply, type 5490",Medical/Surgical Supplies,HCPCS Level II
A5500,"Medical/surgical supply, type 5500",Medical/Surgical Supplies,HCPCS Level II
A5510,"Medical/surgical supply, type 5510",Medical/Surgical Supplies,HCPCS Level II
A5520,"Medical/surgical supply, type 5520",Medical/Surgical Supplies,HCPCS Level II
A5530,"Medical/surgical supply, type 5530",Medical/Surgical Supplies,HCPCS Level II
A5540,"Medical/surgical supply, type 5540",Medical/Surgical Supplies,HCPCS Level II
