term,category,meaning,example,usage
cutane/o,Root,skin,"subcutaneous, cutaneous",Integumentary System
BP,Abbreviation,Blood Pressure,BP 120/80,Vital Signs
HR,Abbreviation,Heart Rate,HR 75 bpm,Vital Signs
RR,Abbreviation,Respiratory Rate,RR 16,Vital Signs
T,Abbreviation,Temperature,T 98.6°F,Vital Signs
SpO2,Abbreviation,Oxygen Saturation,SpO2 98%,Vital Signs
MI,Abbreviation,Myocardial Infarction,Acute MI,Cardiovascular
CHF,Abbreviation,Congestive Heart Failure,CHF exacerbation,Cardiovascular
COPD,Abbreviation,Chronic Obstructive Pulmonary Disease,COPD with exacerbation,Respiratory
CAD,Abbreviation,Coronary Artery Disease,History of CAD,Cardiovascular
CVA,Abbreviation,Cerebrovascular Accident,Acute CVA (stroke),Neurological
DM,Abbreviation,Diabetes Mellitus,Type 2 DM,Endocrine
HTN,Abbreviation,Hypertension,Essential HTN,Cardiovascular
UTI,Abbreviation,Urinary Tract Infection,Recurrent UTI,Urinary
DVT,Abbreviation,Deep Vein Thrombosis,Left leg DVT,Cardiovascular
PE,Abbreviation,Pulmonary Embolism,Acute PE,Respiratory
CKD,Abbreviation,Chronic Kidney Disease,CKD Stage 3,Urinary
CBC,Abbreviation,Complete Blood Count,CBC ordered,Laboratory
BMP,Abbreviation,Basic Metabolic Panel,BMP results,Laboratory
CMP,Abbreviation,Comprehensive Metabolic Panel,CMP ordered,Laboratory
ABG,Abbreviation,Arterial Blood Gas,ABG shows hypoxia,Laboratory
HbA1c,Abbreviation,Hemoglobin A1c,HbA1c 7.2%,Laboratory
TSH,Abbreviation,Thyroid Stimulating Hormone,TSH elevated,Laboratory
PT/INR,Abbreviation,Prothrombin Time/International Normalized Ratio,INR 2.5,Laboratory
CXR,Abbreviation,Chest X-Ray,CXR shows infiltrate,Radiology
CT,Abbreviation,Computed Tomography,CT scan abdomen,Radiology
MRI,Abbreviation,Magnetic Resonance Imaging,MRI brain,Radiology
US,Abbreviation,Ultrasound,US abdomen,Radiology
EKG,Abbreviation,Electrocardiogram,EKG shows STEMI,Diagnostic
PO,Abbreviation,by mouth (per os),PO medication,Medication
IV,Abbreviation,intravenous,IV antibiotics,Medication
IM,Abbreviation,intramuscular,IM injection,Medication
SubQ,Abbreviation,subcutaneous,SubQ insulin,Medication
bid,Abbreviation,twice daily,Metformin 1000mg bid,Medication
tid,Abbreviation,three times daily,Amoxicillin tid,Medication
qid,Abbreviation,four times daily,Pain medication qid,Medication
prn,Abbreviation,as needed,Tylenol prn pain,Medication
stat,Abbreviation,immediately,Labs stat,Medical Order
